Time taken to solve:	22.392 minutes
Required Solution trajectory

Node # 	 X 	 Y
0 	 0.000 	 0.000
301 	 1.000 	 0.000
602 	 2.000 	 0.000
903 	 3.000 	 0.000
1204 	 4.000 	 0.000
1505 	 5.000 	 0.000
1806 	 6.000 	 0.000
2107 	 7.000 	 0.000
2408 	 8.000 	 0.000
2709 	 9.000 	 0.000
3010 	 10.000 	 0.000
3311 	 11.000 	 0.000
3612 	 12.000 	 0.000
3913 	 13.000 	 0.000
4214 	 14.000 	 0.000
4515 	 15.000 	 0.000
4816 	 16.000 	 0.000
5117 	 17.000 	 0.000
5418 	 18.000 	 0.000
5719 	 19.000 	 0.000
6020 	 20.000 	 0.000
6321 	 21.000 	 0.000
6622 	 22.000 	 0.000
6915 	 23.000 	 0.000
7203 	 24.000 	 0.000
7488 	 25.000 	 0.000
7770 	 26.000 	 0.000
8049 	 27.000 	 0.000
8326 	 28.000 	 0.000
8601 	 29.000 	 0.000
8873 	 30.000 	 0.000
9143 	 31.000 	 0.000
9412 	 32.000 	 0.000
9678 	 33.000 	 0.000
9942 	 34.000 	 0.000
10204 	 35.000 	 0.000
10464 	 36.000 	 0.000
10722 	 37.000 	 0.000
10977 	 38.000 	 0.000
11231 	 39.000 	 0.000
11484 	 40.000 	 0.000
11735 	 41.000 	 0.000
11966 	 42.000 	 0.000
12188 	 43.000 	 0.000
12400 	 44.000 	 0.000
12608 	 45.000 	 0.000
12811 	 46.000 	 0.000
13009 	 47.000 	 0.000
13204 	 48.000 	 0.000
13397 	 49.000 	 0.000
13588 	 50.000 	 0.000
13777 	 51.000 	 0.000
13964 	 52.000 	 0.000
14149 	 53.000 	 0.000
14332 	 54.000 	 0.000
14514 	 55.000 	 0.000
14694 	 56.000 	 0.000
14872 	 57.000 	 0.000
15048 	 58.000 	 0.000
15223 	 59.000 	 0.000
15396 	 60.000 	 0.000
15568 	 61.000 	 0.000
15739 	 62.000 	 0.000
15908 	 63.000 	 0.000
16075 	 64.000 	 0.000
16242 	 65.000 	 0.000
16407 	 66.000 	 0.000
16571 	 67.000 	 0.000
16733 	 68.000 	 0.000
16895 	 69.000 	 0.000
17055 	 70.000 	 0.000
17214 	 71.000 	 0.000
17372 	 72.000 	 0.000
17529 	 73.000 	 0.000
17684 	 74.000 	 0.000
17839 	 75.000 	 0.000
17993 	 76.000 	 0.000
18146 	 77.000 	 0.000
18297 	 78.000 	 0.000
18448 	 79.000 	 0.000
18598 	 80.000 	 0.000
18747 	 81.000 	 0.000
18895 	 82.000 	 0.000
19042 	 83.000 	 0.000
19188 	 84.000 	 0.000
19334 	 85.000 	 0.000
19479 	 86.000 	 0.000
19623 	 87.000 	 0.000
19766 	 88.000 	 0.000
19909 	 89.000 	 0.000
20052 	 90.000 	 1.000
20194 	 91.000 	 2.000
20336 	 92.000 	 3.000
20478 	 93.000 	 4.000
20620 	 94.000 	 5.000
20762 	 95.000 	 6.000
20904 	 96.000 	 7.000
21046 	 97.000 	 8.000
21187 	 98.000 	 9.000
21329 	 99.000 	 10.000
21471 	 100.000 	 11.000
21615 	 101.000 	 12.000
21759 	 102.000 	 13.000
21903 	 103.000 	 14.000
22047 	 104.000 	 15.000
22193 	 105.000 	 16.000
22339 	 106.000 	 17.000
22485 	 107.000 	 18.000
22631 	 108.000 	 19.000
22779 	 109.000 	 20.000
22927 	 110.000 	 21.000
23077 	 111.000 	 22.000
23227 	 112.000 	 23.000
23379 	 113.000 	 24.000
23531 	 114.000 	 25.000
23685 	 115.000 	 26.000
23839 	 116.000 	 27.000
23994 	 117.000 	 27.000
24149 	 118.000 	 27.000
24307 	 119.000 	 28.000
24467 	 120.000 	 29.000
24629 	 121.000 	 30.000
24791 	 122.000 	 31.000
24955 	 123.000 	 32.000
25121 	 124.000 	 33.000
25289 	 125.000 	 34.000
25459 	 126.000 	 35.000
25631 	 127.000 	 36.000
25805 	 128.000 	 37.000
25981 	 129.000 	 38.000
26159 	 130.000 	 39.000
26160 	 130.000 	 40.000
26342 	 131.000 	 41.000
26526 	 132.000 	 42.000
26712 	 133.000 	 43.000
26713 	 133.000 	 44.000
26903 	 134.000 	 45.000
26904 	 134.000 	 46.000
27098 	 135.000 	 47.000
27099 	 135.000 	 48.000
27297 	 136.000 	 49.000
27298 	 136.000 	 50.000
27500 	 137.000 	 51.000
27501 	 137.000 	 52.000
27707 	 138.000 	 53.000
27708 	 138.000 	 54.000
27709 	 138.000 	 55.000
27710 	 138.000 	 56.000
27924 	 139.000 	 57.000
27925 	 139.000 	 58.000
27926 	 139.000 	 59.000
27927 	 139.000 	 60.000
28149 	 140.000 	 61.000
28150 	 140.000 	 62.000
28151 	 140.000 	 63.000
28152 	 140.000 	 64.000
28153 	 140.000 	 65.000
28154 	 140.000 	 66.000
28155 	 140.000 	 67.000
28156 	 140.000 	 68.000
28157 	 140.000 	 69.000
28158 	 140.000 	 70.000
28159 	 140.000 	 71.000
28160 	 140.000 	 72.000
28161 	 140.000 	 73.000
28162 	 140.000 	 74.000
28163 	 140.000 	 75.000
28164 	 140.000 	 76.000
28165 	 140.000 	 77.000
28166 	 140.000 	 78.000
28167 	 140.000 	 79.000
28168 	 140.000 	 80.000
28169 	 140.000 	 81.000
28170 	 140.000 	 82.000
28171 	 140.000 	 83.000
28172 	 140.000 	 84.000
28173 	 140.000 	 85.000
28174 	 140.000 	 86.000
28175 	 140.000 	 87.000
28176 	 140.000 	 88.000
28177 	 140.000 	 89.000
28178 	 140.000 	 90.000
28179 	 140.000 	 91.000
28180 	 140.000 	 92.000
28181 	 140.000 	 93.000
28182 	 140.000 	 94.000
28183 	 140.000 	 95.000
28184 	 140.000 	 96.000
28185 	 140.000 	 97.000
28186 	 140.000 	 98.000
28187 	 140.000 	 99.000
28188 	 140.000 	 100.000
28189 	 140.000 	 101.000
28190 	 140.000 	 102.000
28191 	 140.000 	 103.000
28192 	 140.000 	 104.000
28193 	 140.000 	 105.000
28194 	 140.000 	 106.000
28195 	 140.000 	 107.000
28196 	 140.000 	 108.000
28197 	 140.000 	 109.000
28198 	 140.000 	 110.000
28199 	 140.000 	 111.000
28200 	 140.000 	 112.000
28201 	 140.000 	 113.000
28202 	 140.000 	 114.000
28203 	 140.000 	 115.000
28204 	 140.000 	 116.000
28205 	 140.000 	 117.000
28206 	 140.000 	 118.000
28207 	 140.000 	 119.000
28208 	 140.000 	 120.000
28209 	 140.000 	 121.000
28210 	 140.000 	 122.000
28211 	 140.000 	 123.000
28212 	 140.000 	 124.000
28213 	 140.000 	 125.000
28214 	 140.000 	 126.000
28215 	 140.000 	 127.000
28456 	 141.000 	 128.000
28697 	 142.000 	 129.000
28938 	 143.000 	 130.000
29179 	 144.000 	 131.000
29420 	 145.000 	 132.000
29661 	 146.000 	 133.000
29902 	 147.000 	 134.000
30143 	 148.000 	 135.000
30384 	 149.000 	 136.000
30625 	 150.000 	 137.000
30866 	 151.000 	 138.000
31107 	 152.000 	 139.000
31348 	 153.000 	 140.000
31590 	 154.000 	 141.000
31831 	 155.000 	 142.000
32073 	 156.000 	 143.000
32315 	 157.000 	 144.000
32558 	 158.000 	 145.000
32801 	 159.000 	 146.000
33045 	 160.000 	 147.000
33290 	 161.000 	 148.000
33535 	 162.000 	 149.000
33781 	 163.000 	 150.000
34029 	 164.000 	 151.000
34277 	 165.000 	 152.000
34526 	 166.000 	 153.000
34777 	 167.000 	 154.000
